dvcat,weight,dead,airbag,seatbelt,frontal,sex,ageOFocc,yearacc,yearVeh,abcat,occRole,deploy,caseid
40-54,18.8949999997858,alive,airbag,belted,0,m,25,2002,2000.0,deploy,pass,1,81:99:1
25-39,266.53199999779497,alive,none,none,1,f,28,2001,1991.0,unavail,driver,0,76:12:2
25-39,51.809999999590204,alive,airbag,belted,1,f,36,1999,1994.0,deploy,driver,1,78:53:2
10-24,1567.6259999871302,alive,airbag,belted,0,f,24,2002,1994.0,nodeploy,driver,0,11:47:1
25-39,31.341999999945998,alive,none,none,1,f,46,1997,1990.0,unavail,pass,0,12:87:2
10-24,11.4539999999106,alive,none,belted,1,m,45,2000,1994.0,unavail,driver,0,74:41:2
10-24,196.68299999833098,alive,airbag,belted,0,f,22,1999,1995.0,nodeploy,driver,0,2:111:1
10-24,3.2449999999953403,alive,none,belted,1,f,18,2000,1989.0,unavail,driver,0,82:13:2
25-39,232.83199999854,alive,none,belted,0,f,38,2001,1990.0,unavail,driver,0,13:143:1
10-24,10.7249999999767,alive,airbag,belted,1,m,47,2001,1999.0,deploy,pass,1,72:2:1
10-24,1313.19899998605,alive,airbag,belted,0,f,40,2000,1997.0,nodeploy,driver,0,75:95:2
10-24,62.010999999940395,alive,airbag,belted,1,f,52,2001,1995.0,deploy,driver,1,41:48:1
10-24,1662.60199999809,alive,airbag,none,0,m,31,2001,1996.0,nodeploy,driver,0,49:42:1
10-24,733.62199999392,alive,none,belted,1,f,49,1999,1991.0,unavail,driver,0,9:79:2
25-39,268.89699999988096,alive,none,belted,1,f,24,1997,1985.0,unavail,pass,0,81:26:2
10-24,48.600999999791405,alive,none,belted,0,f,44,1999,1990.0,unavail,driver,0,41:47:2
10-24,3618.1629999876,alive,airbag,belted,0,f,71,1999,1991.0,nodeploy,pass,0,41:152:1
10-24,129.52499999851003,alive,airbag,belted,1,f,46,2000,2000.0,nodeploy,driver,0,12:227:2
25-39,541.287999995053,alive,airbag,belted,1,m,28,2002,1997.0,deploy,driver,1,12:2:1
10-24,184.454999998212,alive,airbag,none,0,m,35,1999,1998.0,nodeploy,pass,0,4:55:2
25-39,509.488999996334,alive,none,none,1,m,19,2002,1990.0,unavail,driver,0,74:107:2
10-24,1346.6109999865303,alive,none,belted,1,f,49,1998,1991.0,unavail,driver,0,43:84:1
10-24,75.80099999997759,alive,airbag,belted,1,f,25,2002,1995.0,nodeploy,driver,0,73:187:1
10-24,302.639999996871,alive,airbag,belted,0,m,52,2002,1998.0,nodeploy,pass,0,13:117:1
10-24,7.52799999999115,alive,airbag,belted,0,f,50,2002,2000.0,nodeploy,driver,0,74:161:2
25-39,567.457999996841,alive,none,none,0,f,86,1999,1987.0,unavail,driver,0,4:101:2
25-39,899.218999996781,alive,none,belted,1,m,20,1997,1978.0,unavail,driver,0,12:144:1
25-39,9.78499999991618,alive,none,none,1,m,18,2000,1971.0,unavail,pass,0,49:242:1
25-39,71.57299999985841,alive,none,none,1,f,34,2000,1987.0,unavail,driver,0,81:60:2
10-24,194.138999998569,alive,none,belted,1,m,64,1997,1983.0,unavail,driver,0,12:94:2
10-24,388.573999997228,alive,none,belted,1,m,29,2000,1990.0,unavail,driver,0,74:39:1
25-39,4.45499999995809,alive,airbag,belted,1,f,61,2002,2001.0,deploy,driver,1,72:168:1
1-9km/h,2265.0319999754397,alive,none,none,0,m,16,2000,1993.0,unavail,pass,0,76:79:1
10-24,46.64099999982861,alive,airbag,belted,1,m,35,1998,1996.0,deploy,driver,1,75:208:2
25-39,69.0929999994114,alive,none,belted,0,f,22,1998,1991.0,unavail,pass,0,75:109:1
40-54,1082.2509999871302,alive,none,none,1,m,16,1999,1980.0,unavail,pass,0,75:94:1
10-24,26.386999999871502,alive,airbag,belted,0,m,42,1999,1991.0,nodeploy,driver,0,82:146:4
25-39,168.837999999523,alive,none,none,1,f,19,1998,1986.0,unavail,pass,0,13:84:2
25-39,145.872999999672,alive,airbag,belted,1,m,42,2002,1999.0,deploy,driver,1,2:51:2
10-24,158.06799999997,alive,airbag,none,1,f,40,2002,1997.0,deploy,pass,1,78:60:2
10-24,159.537999998778,alive,none,belted,1,f,52,1999,1992.0,unavail,driver,0,12:111:1
25-39,30.3929999999236,alive,none,belted,0,m,65,1998,1984.0,unavail,driver,0,41:19:1
25-39,283.304999999702,alive,airbag,none,1,m,20,2000,2000.0,deploy,pass,1,5:18:1
10-24,1491.8479999899898,alive,airbag,none,0,m,89,2002,1990.0,deploy,driver,1,76:89:1
10-24,45.6529999999329,alive,airbag,none,0,m,22,2001,2001.0,deploy,driver,1,11:97:1
